modelpath,Category,Feature_1,Feature_2
/Skyphos/London E 140.obj,Skyphos,0.004394045227124193,0.038168471793548014
/Skyphos/Hermogenes_skyphos_Louvre.obj,Skyphos,0.0030723093561443593,0.04115458098622784
/Skyphos/London F 90_3.obj,Skyphos,0.003561314255257791,0.04088359977080142
/Modern-Mug/BlenderRepository_coffee-mug.obj,Modern-Mug,0.012980710717917976,0.031513921362581826
/Modern-Mug/BlenderRepository_glass-mug.obj,Modern-Mug,0.013967621421915613,0.032361331739995364
/Modern-Mug/Glassn1.obj,Modern-Mug,0.0029799270536160897,0.024506192546280735
/Modern-Mug/m504.obj,Modern-Mug,0.006444949210082055,0.024778100311267016
/Modern-Mug/m508.obj,Modern-Mug,0.0052437745084718355,0.023988482119774435
/Modern-Mug/m505.obj,Modern-Mug,0.0016017456443284664,0.03047616883067203
/Modern-Mug/m507.obj,Modern-Mug,0.003322591509147761,0.026034949834240772
/Modern-Mug/Y6515_TEACUP.obj,Modern-Mug,0.002113916881741088,0.02722604172068755
/Modern-Mug/m509.obj,Modern-Mug,0.001948382208316511,0.026342842088120152
/Modern-Mug/Y9227_mug.obj,Modern-Mug,0.006509873815125819,0.023717395530051984
/Modern-Mug/Y22_mug.obj,Modern-Mug,0.0048892060730208265,0.024279356647015537
/Abstract/qp119.obj,Abstract,0.0019483392217814494,0.013529779321869672
/Abstract/qp24.obj,Abstract,0.003718024403486806,0.012658570482827734
/Abstract/Flower Vase.obj,Abstract,0.01118387217409317,0.012844671262376683
/Abstract/qp89.obj,Abstract,0.0022421541608176657,0.01237839066368985
/Abstract/qp35.obj,Abstract,0.0036495702744632546,0.011421673250732081
/Abstract/qp70.obj,Abstract,0.003848817816501204,0.015947131145495324
/Abstract/Abstractshape31.obj,Abstract,0.015049234779738572,0.020034857822585204
/Abstract/qp69.obj,Abstract,0.003372023545185116,0.015555753783263513
/Abstract/qp49.obj,Abstract,0.003280276979690131,0.011836810222110042
/Abstract/qp125.obj,Abstract,0.0019436787997640303,0.014328397719738102
/Abstract/qp132.obj,Abstract,0.002526355021053145,0.01380452123390208
/Abstract/qp41.obj,Abstract,0.0036425296375622624,0.01230513695540869
/Abstract/vase12.obj,Abstract,0.023009911223670184,0.022954633896778688
/Abstract/Abstractshape48.obj,Abstract,0.016256087931390953,0.01599513483855778
/Abstract/qp42.obj,Abstract,0.0035473382544836517,0.012528900751510488
/Abstract/Abstractshape32.obj,Abstract,0.015255063034354546,0.018361531409600368
/Abstract/Abstractshape20.obj,Abstract,0.016304348601227016,0.016025960581694025
/Abstract/Abstractshape19.obj,Abstract,0.015429432364643968,0.017943204062061055
/Abstract/qp133.obj,Abstract,0.002090213467693721,0.0140499302873493
/Abstract/qp67.obj,Abstract,0.0038877406330669836,0.014534159811561512
/Abstract/qp85.obj,Abstract,0.002724130900923598,0.011124733609356395
/Abstract/qp138.obj,Abstract,0.0031855935172579,0.01514483556585713
/Abstract/Abstractshape25.obj,Abstract,0.01553268788429325,0.020464213633857926
/Abstract/qp131.obj,Abstract,0.0023810713751594146,0.013116219180372259
/Abstract/tutu_27.obj,Abstract,0.001826797687636461,0.024664435934245953
/Abstract/Y7187_POTTRY1.obj,Abstract,0.01716503799139419,0.019422245700294497
/Abstract/Abstractshape26.obj,Abstract,0.015643298052108966,0.016756079570139908
/Abstract/qp21.obj,Abstract,0.003296869959605484,0.012602033814351005
/Abstract/qp86.obj,Abstract,0.0025305548044341286,0.011185515181780193
/Abstract/tutu_32.obj,Abstract,0.001484147398379229,0.02628932689550256
/Abstract/qp43.obj,Abstract,0.0034818976923556397,0.01251325884144638
/Abstract/Y2527_POTTERY0.obj,Abstract,0.006867146033250712,0.01728650084505624
/Abstract/tutu_31.obj,Abstract,0.031331032736284355,0.016478713676896004
/Abstract/tutu_29.obj,Abstract,0.029494345349501645,0.016357089982808888
/Abstract/tutu_38.obj,Abstract,0.026400124986302644,0.011533634631210977
/Abstract/qp31.obj,Abstract,0.003574639051943588,0.01265379544146775
/Abstract/qp136.obj,Abstract,0.00294738292615897,0.014915244179353493
/Abstract/tutu_42.obj,Abstract,0.007425776222151938,0.011109440356492424
/Abstract/qp123.obj,Abstract,0.0041893676196865974,0.013905829652082766
/Abstract/Abstractshape35.obj,Abstract,0.015587372660693863,0.017205652328515123
/Abstract/Abstractshape33.obj,Abstract,0.015173875604823955,0.018886298559979923
/Abstract/qp83.obj,Abstract,0.003338831345068027,0.013853347772011375
/Abstract/qp36.obj,Abstract,0.004008596679374228,0.012863959806552219
/Abstract/tutu_40.obj,Abstract,0.030971404703869942,0.016301717083310775
/Abstract/qpvase.obj,Abstract,0.0020310315835669517,0.013544474954734743
/Abstract/Abstractshape4.obj,Abstract,0.016189359888378517,0.015990814175492946
/Abstract/tutu_25.obj,Abstract,0.02702317896797109,0.016096733618350727
/Abstract/Y4249_urn2.obj,Abstract,0.0005154274848641552,0.014039151234014577
/Abstract/tutu_39.obj,Abstract,0.033425021552606626,0.016384866341776005
/Abstract/qp128.obj,Abstract,0.0017301345562549901,0.014679977401626331
/Abstract/Abstractshape10.obj,Abstract,0.014622986109868145,0.029496527012373073
/Abstract/m535.obj,Abstract,0.02143605990401756,0.026260831732014142
/Abstract/Abstractshape21.obj,Abstract,0.014995838702572626,0.018286878712919
/Abstract/Archive3D_Paso_dos-vase.obj,Abstract,0.0036252436556107777,0.015733924481439596
/Abstract/Abstractshape18.obj,Abstract,0.01493740594738424,0.018597809006396675
/Abstract/qp112.obj,Abstract,0.0024727592428480053,0.014594662632966781
/Abstract/Y7274_a3dhopi.obj,Abstract,0.012148868875330326,0.016561912087214314
/Abstract/qp77.obj,Abstract,0.001784555334682226,0.012877684709686015
/Abstract/tutu_41.obj,Abstract,0.03319632907175613,0.014235496010497908
/Abstract/qp54.obj,Abstract,0.0037650056290341057,0.016016421064242278
/Abstract/Y7324_pottry1.obj,Abstract,0.01716503799139419,0.019422245700294497
/Abstract/qp74.obj,Abstract,0.0027640456673853724,0.012210939121171651
/Abstract/qp87.obj,Abstract,0.0029019078386285763,0.012436814770765511
/Abstract/Y7193_pottry1.obj,Abstract,0.01716503799139419,0.019422245700294497
/Abstract/Abstractshape2.obj,Abstract,0.016127420469104675,0.014888451701091262
/Abstract/Y2534_POTTERY7.obj,Abstract,0.006167252610201161,0.017663131621194414
/Abstract/Y7070_jar-3.obj,Abstract,0.0032224322098984874,0.01239275515071953
/Abstract/Abstractshape47.obj,Abstract,0.01528538291176333,0.01685625545544857
/Abstract/qp120.obj,Abstract,0.00216096443379275,0.013684407626092717
/Abstract/qp61.obj,Abstract,0.0034731195416509873,0.015182225051774644
/Abstract/qp44.obj,Abstract,0.0034443129875732044,0.012113900517609433
/Abstract/Abstractshape50.obj,Abstract,0.015873437987981114,0.015825314344958746
/Abstract/tutu_36.obj,Abstract,0.00030473105508460455,0.013581736394574844
/Abstract/tutu_26.obj,Abstract,0.021079767378223147,0.011905935699984486
/Abstract/qp51.obj,Abstract,0.003295421377895117,0.01278563424419333
/Abstract/qp30.obj,Abstract,0.003600602738242863,0.012481480771439487
/Abstract/qp50.obj,Abstract,0.003702956190667815,0.013354183291209763
/Abstract/Abstractshape23.obj,Abstract,0.015387649000410935,0.01655524559642135
/Abstract/tutu_33.obj,Abstract,0.021079767378223147,0.011905935699984486
/Abstract/Abstractshape49.obj,Abstract,0.016108999716328034,0.015807039661879775
/Abstract/Abstractshape42.obj,Abstract,0.014915507391608185,0.01899290980678791
/Abstract/qp79.obj,Abstract,0.002290629030699067,0.014851896235739837
/Abstract/qp45.obj,Abstract,0.0037166618542064,0.012462790883925445
/Abstract/Abstractshape5.obj,Abstract,0.016310568072974076,0.015830893507047267
/Abstract/qp116.obj,Abstract,0.002104062745731506,0.013717115713999336
/Abstract/qp64.obj,Abstract,0.003789502732873032,0.01714638232802279
/Abstract/qp113.obj,Abstract,0.0019371799059278746,0.014805767755747832
/Abstract/qp38.obj,Abstract,0.0036964699804589284,0.013220974499434018
/Abstract/qp130.obj,Abstract,0.002499710674011672,0.013866690054433594
/Abstract/qp129.obj,Abstract,0.0026395326319575336,0.01608347745050886
/Abstract/Abstractshape45.obj,Abstract,0.015800220529722117,0.016253339721057598
/Abstract/tutu_50.obj,Abstract,0.01317308902047127,0.011079999630758317
/Abstract/tutu_19.obj,Abstract,0.007425776222151938,0.011109440356492424
/Abstract/Abstractshape16.obj,Abstract,0.01652597041747174,0.01574216907572036
/Abstract/qp122.obj,Abstract,0.0035965189177700565,0.015722414492189335
/Abstract/qp78.obj,Abstract,0.0018339715205979545,0.012424312120101765
/Abstract/vase20.obj,Abstract,0.005737686017859759,0.015151621974748869
/Abstract/qp73.obj,Abstract,0.0029203063703678307,0.015220852661159847
/Abstract/tutu_16.obj,Abstract,0.03319632907175613,0.014235496010497908
/Abstract/Abstractshape22.obj,Abstract,0.015461852649553614,0.01866248589405471
/Abstract/qp60.obj,Abstract,0.0029791156854009964,0.015482521769742913
/Abstract/qp81.obj,Abstract,0.003269291093805908,0.012228737575969841
/Abstract/tutu_48.obj,Abstract,0.02306887700284258,0.014996779890779988
/Abstract/tutu_23.obj,Abstract,0.002924411711785765,0.02581243578311563
/Abstract/Abstractshape11.obj,Abstract,0.015488667102788943,0.022369704635204476
/Abstract/qp139.obj,Abstract,0.002511148071147321,0.013256866947613721
/Abstract/qp57.obj,Abstract,0.0032688719814699704,0.014097069749557479
/Abstract/qp127.obj,Abstract,0.0025662684719837303,0.013366173424006115
